age,income,risk_status,loan_int_rate,family_size,education,cc_expense,lifestyle_expense,credit_score,total_expense,savings,budget_status
22,59000,1,16.02,3,3,4.1,1910,847.0,1959.2,57040.8,Bad
21,9600,0,11.14,1,1,3.6,1478,685.0,1521.2,8078.8,Average
25,9600,1,12.87,3,1,6.5,17,754.0,95.0,9505.0,Bad
23,65500,1,15.23,1,3,2.6,2008,497.0,2039.2,63460.8,Bad
24,54400,1,14.27,4,2,2.0,1033,733.0,1057.0,53343.0,Bad
21,9900,1,7.14,3,1,1.0,65,388.0,77.0,9823.0,Bad
26,77100,1,12.42,3,3,0.0,833,791.0,833.0,76267.0,Bad
24,78956,1,11.11,1,3,0.9,1956,685.0,1966.8,76989.2,Bad
24,83000,1,8.9,2,2,1.6,70,807.0,89.2,82910.8,Bad
21,10000,1,14.74,4,1,2.67,42,583.0,74.03999999999999,9925.96,Bad
22,85000,1,10.37,2,2,0.1,1315,691.0,1316.2,83683.8,Bad
21,10000,1,8.63,1,1,0.9,17,549.0,27.8,9972.2,Bad
23,95000,1,7.9,4,3,1.0,653,543.0,665.0,94335.0,Bad
26,108160,1,18.39,1,2,0.3,535,452.0,538.6,107621.4,Bad
23,115000,0,7.9,1,2,1.4,1910,449.0,1926.8,113073.2,Average
23,500000,0,10.65,3,2,1.3,40,513.0,55.6,499944.4,Average
23,120000,0,7.9,4,1,0.3,415,464.0,418.6,119581.4,Average
23,92111,1,20.25,4,2,0.5,2486,527.0,2492.0,89619.0,Bad
23,113000,1,18.25,3,1,2.0,270,477.0,294.0,112706.0,Bad
24,10800,1,10.99,3,1,4.9,1264,772.0,1322.8,9477.2,Bad
25,162500,0,7.49,2,2,8.6,1313,652.0,1416.2,161083.8,Average
25,137000,0,16.77,3,1,2.2,347,724.0,373.4,136626.6,Good
22,65000,1,17.58,3,3,1.6,1106,566.0,1125.2,63874.8,Bad
24,10980,0,7.29,3,1,0.6,441,335.0,448.2,10531.8,Average
22,80000,1,14.54,1,1,1.5,655,403.0,673.0,79327.0,Bad
